id,date,city/town,distance,location_description,latitude,longitude,geolocation,hazard_type,landslide_type,landslide_size,trigger,storm_name,injuries,fatalities
34,03/02/2007,Cherry Hill,3.40765,Unknown,38.6009,-77.2682,"(38.600900000000003, -77.268199999999993)",Landslide,Landslide,Small,Rain,,,
42,3/22/07,New Philadelphia,3.33522,,40.5175,-81.4305,"(40.517499999999998, -81.430499999999995)",Landslide,Landslide,Small,Rain,,,
56,04/06/2007,Wilkinsburg,2.91977,Urban area,40.4377,-79.916,"(40.4377, -79.915999999999997)",Landslide,Landslide,Small,Rain,,,
59,4/14/07,Châteauguay,2.98682,Above river,45.3226,-73.7771,"(45.322600000000001, -73.777100000000004)",Landslide,Riverbank collapse,Small,Rain,,,
61,4/15/07,Pikeville,5.66542,Below road,37.4325,-82.4931,"(37.432499999999997, -82.493099999999998)",Landslide,Landslide,Small,Downpour,,,0
64,4/20/07,Pikeville,0.23715,,37.4814,-82.5186,"(37.481400000000001, -82.518600000000006)",Landslide,Landslide,Small,Rain,,,
67,4/24/07,Dakota Dunes,2.48033,,42.4941,-96.4576,"(42.494100000000003, -96.457599999999999)",Landslide,Landslide,Small,Rain,,,
77,5/21/07,Pereira,0.62022,,4.8081,-75.6941,"(4.8080999999999996, -75.694100000000006)",Landslide,Mudslide,Large,Rain,,,13
105,6/27/07,Zamora,0.47714,,-4.065,-78.951,"(-4.0650000000000004, -78.950999999999993)",Landslide,Landslide,Medium,Downpour,,,
106,6/27/07,Loja,0.35649,,-3.99,-79.205,"(-3.99, -79.204999999999998)",Landslide,Landslide,Medium,Downpour,,,
107,6/27/07,Sangolquí,33.94603,,-0.356,-78.148,"(-0.35599999999999998, -78.147999999999996)",Landslide,Landslide,Medium,Downpour,,,
109,07/01/2007,Haltom City,0.03668,,32.7995,-97.2688,"(32.799500000000002, -97.268799999999999)",Landslide,Landslide,Medium,Rain,,,
115,07/04/2007,Laguna Chica (Pueblo Nuevo),9.51003,,18.5369,-96.8229,"(18.536899999999999, -96.822900000000004)",Landslide,Landslide,Medium,Rain,,,7
119,07/08/2007,Ottawa,1.74759,,45.4257,-75.6896,"(45.425699999999999, -75.689599999999999)",Landslide,Landslide,Small,Unknown,,,
124,7/13/07,San Carlos,1.70298,,18.4757,-69.914,"(18.4757, -69.914000000000001)",Landslide,Landslide,Small,Unknown,,,
138,7/24/07,Grand Prairie,5.66936,,32.7883,-97.0317,"(32.7883, -97.031700000000001)",Landslide,Landslide,Small,Rain,,,
